IP Range,Country,Region,City,Postal Code
40.113.128.0/18,NL,,AMSTERDAM,
40.114.128.0/17,NL,,AMSTERDAM,
40.115.0.0/18,NL,,AMSTERDAM,
40.118.0.0/17,NL,,AMSTERDAM,
40.119.128.0/19,NL,,AMSTERDAM,
40.120.152.0/24,NL,,AMSTERDAM,
40.120.153.0/25,NL,,AMSTERDAM,
40.120.153.128/27,NL,,AMSTERDAM,
40.120.153.160/28,NL,,AMSTERDAM,
40.123.140.0/22,NL,,AMSTERDAM,
40.123.180.0/22,NL,,AMSTERDAM,
40.126.9.0/24,NL,,AMSTERDAM,
40.126.32.0/24,NL,,AMSTERDAM,
51.5.11.0/24,NL,,AMSTERDAM,
51.5.12.0/24,NL,,AMSTERDAM,
51.105.96.0/19,NL,,AMSTERDAM,
51.105.128.0/17,NL,,AMSTERDAM,
51.105.173.42/32,NL,,AMSTERDAM,
51.124.0.0/16,NL,,AMSTERDAM,
51.136.0.0/16,NL,,AMSTERDAM,
51.137.0.0/17,NL,,AMSTERDAM,
51.137.192.0/18,NL,,AMSTERDAM,
51.138.0.0/17,NL,,AMSTERDAM,
51.144.0.0/16,NL,,AMSTERDAM,
51.145.128.0/17,NL,,AMSTERDAM,
52.97.134.0/27,NL,,AMSTERDAM,
52.97.134.112/28,NL,,AMSTERDAM,
52.97.135.64/27,NL,,AMSTERDAM,
52.97.135.112/28,NL,,AMSTERDAM,
52.97.135.128/25,NL,,AMSTERDAM,
52.97.136.0/23,NL,,AMSTERDAM,
52.97.138.192/27,NL,,AMSTERDAM,
52.97.139.0/24,NL,,AMSTERDAM,
52.97.140.128/26,NL,,AMSTERDAM,
52.97.140.192/28,NL,,AMSTERDAM,
52.97.140.224/27,NL,,AMSTERDAM,
52.97.143.0/25,NL,,AMSTERDAM,
52.97.143.128/27,NL,,AMSTERDAM,
52.97.144.0/24,NL,,AMSTERDAM,
52.97.147.0/24,NL,,AMSTERDAM,
52.97.149.0/24,NL,,AMSTERDAM,
